iteration,best_train_avg_makespan
0,1851.96
1,1840.98
2,1785.24
3,1941.12
4,1914.12
5,1736.2
6,1789.36
7,1773.1
8,1602.94
9,1754.32
10,1773.06
11,1580.36
12,1636.28
13,1705.56
14,1518.26
15,1584.1
16,1519.32
17,1555.62
18,1494.28
19,1469.02
20,1464.46
21,1432.18
22,1381.06
23,1414.64
24,1493.26
25,1429.18
26,1405.74
27,1392.7
28,1356.2
29,1398.96
30,1337.48
31,1313.38
32,1339.44
33,1265.8
34,1310.34
35,1319.96
36,1324.72
37,1342.98
38,1297.1
39,1297.3
40,1239.12
41,1285.54
42,1271.66
43,1244.84
44,1253.02
45,1234.18
46,1305.48
47,1230.04
48,1224.86
49,1249.1
50,1203.88
51,1211.04
52,1307.66
53,1237.34
54,1256.36
55,1233.32
56,1236.42
57,1173.68
58,1214.32
59,1182.64
60,1242.32
61,1172.1
62,1230.22
63,1214.74
64,1193.64
65,1186.88
66,1227.94
67,1173.3
68,1214.76
69,1196.82
70,1244.58
71,1191.02
72,1185.14
73,1160.92
74,1216.52
75,1226.64
76,1222.1
77,1155.4
78,1119.96
79,1170.76
80,1192.56
81,1160.04
82,1176.4
83,1186.9
84,1170.54
85,1166.8
86,1191.82
87,1233.2
88,1203.24
89,1200.36
90,1151.72
91,1205.44
92,1148.02
93,1137.62
94,1139.32
95,1183.1
96,1165.06
97,1105.58
98,1197.28
99,1146.84
100,1160.34
101,1142.68
102,1201.26
103,1155.38
104,1135.84
105,1168.56
106,1164.3
107,1174.46
108,1190.92
109,1147.74
110,1154.22
111,1165.3
112,1165.9
113,1161.2
114,1129.14
115,1101.52
116,1122.86
117,1155.2
118,1143.36
119,1160.94
120,1147.82
121,1142.32
122,1091.56
123,1145.86
124,1150.98
125,1138.94
126,1152.36
127,1187.58
128,1181.82
129,1126.16
130,1143.38
131,1064.78
132,1143.94
133,1152.66
134,1101.8
135,1177.16
136,1115.88
137,1120
138,1148.94
139,1136.82
140,1119.38
141,1144.32
142,1136.4
143,1153.22
144,1153.58
145,1079.52
146,1110.94
147,1139.28
148,1162.86
149,1136.54
150,1171.26
151,1138.5
152,1149.16
153,1136.64
154,1143.58
155,1071.16
156,1131.74
157,1139.36
158,1130.58
159,1131.52
160,1162
161,1150.58
162,1105.94
163,1116.74
164,1095.48
165,1117.02
166,1176.68
167,1147.98
168,1094.02
169,1144.34
170,1167.54
171,1092.28
172,1120.72
173,1139.72
174,1143.14
175,1138.34
176,1137.26
177,1151.28
178,1118.12
179,1114.44
180,1076.6
181,1125.8
182,1113.64
183,1134.84
184,1159.88
185,1133.78
186,1121.22
187,1109.86
188,1126.92
189,1130.48
190,1143.24
191,1110.58
192,1112.5
193,1117.82
194,1124.4
195,1132.68
196,1112.66
197,1121.42
198,1158.16
199,1090.34
200,1115.06
201,1125.66
202,1115.2
203,1098.48
204,1105.52
205,1116.76
206,1097.32
207,1123.46
208,1125.54
209,1119.02
210,1112.06
211,1158.72
212,1094.96
213,1114.16
214,1102.38
215,1147.74
216,1131.88
217,1120.26
218,1131.42
219,1100.88
220,1086.64
221,1107.96
222,1133.76
223,1098.96
224,1097.16
225,1099.74
226,1120.18
227,1144.22
228,1169.06
229,1121.9
230,1106.78
231,1154.96
232,1099.76
233,1131.94
234,1130.44
235,1144.82
236,1047.36
237,1116.28
238,1113.32
239,1098.02
240,1134.82
241,1103
242,1098.86
243,1120.38
244,1148.22
245,1150.2
246,1086.68
247,1100.9
248,1088.4
249,1132.6
250,1137.74
251,1078.84
252,1108.86
253,1165.38
254,1092.28
255,1160.1
256,1131.6
257,1123.84
258,1116.52
259,1136.36
260,1109.36
261,1120.6
262,1116.96
263,1168.5
264,1145
265,1133.96
266,1133.58
267,1089.64
268,1117.32
269,1171.96
270,1110.24
271,1116.62
272,1114.92
273,1083.62
274,1133.34
275,1117
276,1119.04
277,1126.68
278,1104.32
279,1098.16
280,1105.7
281,1095.92
282,1124.06
283,1092.6
284,1154.08
285,1126.62
286,1142.52
287,1127.24
288,1107.72
289,1114.7
290,1106.18
291,1078.56
292,1060.02
293,1119.02
294,1080.46
295,1100.84
296,1067.9
297,1138.44
298,1137.32
299,1094.3
300,1102.12
301,1124.5
302,1138.2
303,1156.58
304,1106.18
305,1140.3
306,1069.74
307,1117.84
308,1079.14
309,1080.98
310,1100.62
311,1097.22
312,1120.06
313,1084.5
314,1129.4
315,1128.32
316,1113.24
317,1111.32
318,1069.14
319,1084.56
320,1071.5
321,1135.1
322,1104.6
323,1143.18
324,1093.96
325,1107.68
326,1079.56
327,1084.76
328,1107.72
329,1087.04
330,1128.38
331,1125.08
332,1104.32
333,1109.64
334,1125.18
335,1067.72
336,1100.48
337,1100.74
338,1080.98
339,1109.98
340,1111.06
341,1142.72
342,1115.26
343,1090.24
344,1073.64
345,1112.4
346,1083.98
347,1089.96
348,1127.68
349,1100.76
350,1120.48
351,1059.74
352,1087.4
353,1140.98
354,1089.1
355,1153.08
356,1100.44
357,1101.74
358,1080.84
359,1037.7
360,1140.78
361,1064.32
362,1091.56
363,1087.24
364,1143.96
365,1123.6
366,1107.7
367,1117.46
368,1075.36
369,1106.66
370,1115.6
371,1120.18
372,1102.08
373,1069.22
374,1062
375,1118.3
376,1095.84
377,1094.82
378,1103.24
379,1077.24
380,1124.62
381,1150.08
382,1117.06
383,1120
384,1122.7
385,1087.14
386,1145.92
387,1115.46
388,1104.36
389,1070.72
390,1104.56
391,1110.94
392,1085.56
393,1099.86
394,1095.54
395,1154.92
396,1115.12
397,1103.5
398,1095.5
399,1092.8
400,1164.42
401,1106.26
402,1069.64
403,1059.38
404,1122.78
405,1127.34
406,1101.48
407,1098.08
408,1086.9
409,1120.5
410,1104.4
411,1096.04
412,1086.38
413,1113.78
414,1123.14
415,1079.72
416,1093.7
417,1102.48
418,1119.58
419,1057.38
420,1112.4
421,1101.24
422,1090.96
423,1109.12
424,1122.4
425,1122.28
426,1080.22
427,1089.06
428,1121.9
429,1108.84
430,1138.68
431,1052.5
432,1122.42
433,1077.54
434,1108.92
435,1092.12
436,1161.64
437,1128.58
438,1073.52
439,1074.8
440,1134.06
441,1115.54
442,1100.22
443,1074.82
444,1061.52
445,1077.26
446,1054.42
447,1116.58
448,1106.02
449,1076.82
450,1102.86
451,1050.84
452,1058.28
453,1106.24
454,1072.98
455,1069.24
456,1073.4
457,1106.06
458,1093.76
459,1061.16
460,1091.74
461,1053.46
462,1116.62
463,1088.5
464,1086.32
465,1034.62
466,1055.6
467,1080.66
468,1069.6
469,1108.44
470,1109.34
471,1127.72
472,1101.36
473,1075.18
474,1074.68
475,1030.16
476,1101.34
477,1094.4
478,1091.44
479,1089.12
480,1068.08
481,1124.7
482,1060.14
483,1112.14
484,1114.32
485,1136.86
486,1092.46
487,1075.9
488,1059.1
489,1060.12
490,1104.24
491,1117.58
492,1108.12
493,1144.86
494,1087.3
495,1106.94
496,1124.2
497,1125.04
498,1138.66
499,1153.98
500,1085.62
501,1096.52
502,1081.56
503,1121.1
504,1085.76
505,1067.06
506,1059.12
507,1066.6
508,1136.38
509,1134.66
510,1120.1
511,1043.64
512,1072.7
513,1082.76
514,1100.06
515,1110.24
516,1116.86
517,1033.04
518,1114.84
519,1088.26
520,1092.02
521,1104.98
522,1154.34
523,1078.94
524,1067.28
525,1090.14
526,1072.34
527,1135.72
528,1113.44
529,1075.62
530,1089.48
531,1124.42
532,1059.94
533,1103.9
534,1118.46
535,1107.44
536,1103.74
537,1070.96
538,1105.82
539,1067.96
540,1088.04
541,1098.4
542,1048.74
543,1083
544,1092.88
545,1098.38
546,1075
547,1104.44
548,1077.1
549,1092.4
550,1061.58
551,1093.46
552,1086.24
553,1120.2
554,1113.32
555,1053.36
556,1081.78
557,1087.98
558,1065.84
