iteration,best_train_avg_makespan
0,2017.9
1,1873.6
2,1785.68
3,1610.52
4,1924.9
5,1755.98
6,1769.22
7,1646.5
8,1842.94
9,1761.5
10,1778.58
11,1726.9
12,1794.44
13,1966.16
14,1652.2
15,1606.68
16,1740.8
17,1710.28
18,1820.3
19,1688.04
20,1825.02
21,1699.04
22,1329.64
23,1561.94
24,1340.18
25,1367.88
26,1536.18
27,1355.54
28,1173.62
29,1327.2
30,1300.26
31,1194.34
32,1155.62
33,1170.48
34,1147.86
35,1136.22
36,1122.18
37,1122.28
38,1090.8
39,1103.8
40,1003.68
41,1085.46
42,1046.04
43,1025.88
44,1049.56
45,1023.46
46,1034.6
47,991.16
48,990.68
49,994.46
50,967.84
51,977.98
52,1012.58
53,981.9
54,971.14
55,959.76
56,968.24
57,949.46
58,965.94
59,944.86
60,950.02
61,922.58
62,958.7
63,959.06
64,930.9
65,936.38
66,964.54
67,919.9
68,927.04
69,945.88
70,959.28
71,940.8
72,944.24
73,922.02
74,946.68
75,947.48
76,953.34
77,900.32
78,888.6
79,892.06
80,944.7
81,912.6
82,929.4
83,933.6
84,910.16
85,918.76
86,921.64
87,962.24
88,935.62
89,921.84
90,909.36
91,951.04
92,896.78
93,898.68
94,928.28
95,918.5
96,912.68
97,885.92
98,934.12
99,901.62
100,910.32
101,901.76
102,926.08
103,890.26
104,903.22
105,916.44
106,896.2
107,911.86
108,927.78
109,914.06
110,898.96
111,912.56
112,897.72
113,914.04
114,892.36
115,874.54
116,900.44
117,912.4
118,880.54
119,905.48
120,889.54
121,891.12
122,856.26
123,889.54
124,897.48
125,894.3
126,906.32
127,910.5
128,880.34
129,897.26
130,908.28
131,848
132,878.22
133,888.38
134,861.88
135,896.18
136,871.16
137,871.76
138,887.84
139,885.04
140,883.18
141,880.52
142,884.04
143,885.16
144,899.48
145,866.86
146,877.98
147,875.64
148,894.66
149,878.34
150,892.98
151,897.94
152,882.98
153,885.6
154,913.12
155,842.72
156,892.82
157,881.96
158,882.48
159,881.68
160,908.38
161,894.34
162,864.08
163,867.94
164,832.22
165,865.6
166,910.42
167,878.7
168,867.38
169,877.8
170,898.12
171,858.22
172,881.46
173,881.24
174,886.66
175,876.04
176,869.14
177,874.88
178,878.56
179,868.14
180,856.08
181,895.02
182,864.6
183,880.08
184,907.74
185,884.02
186,879.76
187,856
188,868.54
189,871.88
190,879.92
191,856.42
192,873.84
193,853.18
194,874.82
195,886.04
196,877.9
197,866
198,901.28
199,863.72
200,882.52
201,890.64
202,877.36
203,854.96
204,856.6
205,873.46
206,859.1
207,864.78
208,868.7
209,878.22
210,858.06
211,885.76
212,865.14
213,866.62
214,863.14
215,894.8
216,876.18
217,861.1
218,876.4
219,850.88
220,847.6
221,849.5
222,888.36
223,873.52
224,852.16
225,842.38
226,876.66
227,877.84
228,894.42
229,846.88
230,854.82
231,891.26
232,865.94
233,877.98
234,874.88
235,892.94
236,826.46
237,861.68
238,874.64
239,841.36
240,870.3
241,863.34
242,857.98
243,866.98
244,884.04
245,888.78
246,865.32
247,860.7
248,862.42
249,883.22
250,863.16
251,845.12
252,865.54
253,903.96
254,848.96
255,891.54
256,871.08
257,865.18
258,865.32
259,869.26
260,854.6
261,862.26
262,873.26
263,872.78
264,874.62
265,870.46
266,875.5
267,844.1
268,867.48
269,899.46
270,854.62
271,863.2
272,867.86
273,844.88
274,862.52
275,875.2
276,856.72
277,872.32
278,842.98
279,853.94
280,852.84
281,851.6
282,857.66
283,834.22
284,885.24
285,856.96
286,878.24
287,876.48
288,852.94
289,850.32
290,867.94
291,844.32
292,832.66
293,874.82
294,845.26
295,856.94
296,826.96
297,864.86
298,867.94
299,851.7
300,842.54
301,854.2
302,875.16
303,884.28
304,853.54
305,875.04
306,848.96
307,866.16
308,839.56
309,840.8
310,846.56
311,850.9
312,871.58
313,836.24
314,865.4
315,853.4
316,863.8
317,862.6
318,838.88
319,839.34
320,835.38
321,867.58
322,865.08
323,867.12
324,861.88
325,865.4
326,854.2
327,847.34
328,849.04
329,859.64
330,868.68
331,852.98
332,854.54
333,854.76
334,854.98
335,831.98
336,854.9
337,843.66
338,829.64
339,869.96
340,864.3
341,878.78
342,874.62
343,854.64
344,838.36
345,861.04
346,849.94
347,839.98
348,869.94
349,856.54
350,862.28
351,833.52
352,839.08
353,869.42
354,836.8
355,897.86
356,856.46
357,848.94
358,833.04
359,814.68
360,879.66
361,832.16
362,838.86
363,836.4
364,870.32
365,878.94
366,860.12
367,851.94
368,839.28
369,845.6
370,858.44
371,878.7
372,839.5
373,837.78
374,827.86
375,851.68
376,859.28
377,854.6
378,859.8
379,829.82
380,868.04
381,863.4
382,855.86
383,854.12
384,879.72
385,849.76
386,864
387,855.92
388,850.24
389,840.32
390,851.36
391,834.84
392,849.02
393,831.34
394,833.48
395,881.26
396,862.46
397,841.24
398,834.68
399,850.28
400,870.74
401,861.64
402,847.66
403,826.46
404,863.3
405,871.38
406,852.42
407,861.7
408,833.12
409,860.22
410,857.22
411,853.9
412,846.02
413,858.4
414,862.72
415,848.12
416,847.24
417,839.2
418,852.16
419,819.84
420,853.62
421,873.6
422,859.32
423,854.96
424,863.52
425,873.42
426,834.22
427,855.18
428,855.06
429,862.96
430,876.12
431,819.48
432,862.68
433,829.62
434,847.82
435,857.62
436,889.02
437,880.44
438,827.3
439,848.86
440,879.22
441,859.44
442,849.22
443,840.02
444,827.6
445,833.56
446,827.4
447,854.36
448,852.86
449,833.8
450,847.5
451,824.06
452,814.38
453,851.1
454,822.52
455,831.46
456,835.9
457,866.82
458,837.88
459,827.32
460,823.66
461,819.38
462,859.14
463,834.42
464,814.34
465,810.46
466,817.66
467,840.62
468,826.62
469,856.92
470,854.86
471,863.62
472,822.38
